Cod_Loc,IdProvincia,IdDepartamento,Observaciones,categoria,subcategoria,provincia,localidad,nombre,direccion,piso,CP,cod_area,telefono,Mail,Web,Latitud,Longitud,TipoLatitudLongitud,Info_adicional,fuente,jurisdiccion,año_inauguracion,actualizacion,gmap_url,categoria_antig
06063010,06,06063,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Balcarce,Museo Juan Manuel Fangio,Dardo Rocha y Bartolomé Mitre,NA,B7620BGN,2266,425 540,NA,NA,-37.85056,-58.255192,Localización precisa,NA,DNPyM,Privada,1986,2017,"https://www.google.com/maps?q=-37.85056,-58.255192",1989-2019
06063010,06,06063,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Balcarce,Museo Histórico Municipal,32 y 35 Emplazado en el Cerro el Triunfo,NA,B7620CFA,2266,421 800,NA,NA,-37.85056,-58.255192,Localización precisa,NA,DNPyM,Municipal,2008,2017,"https://www.google.com/maps?q=-37.85056,-58.255192",1989-2019
06490010,06,06490,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Banfield,Museo De Artes Plásticas Pío Collivadino,Medrano 165,NA,B1828IPC,11,4202 5223,NA,NA,-34.7482,-58.3946,Localización precisa,NA,DNPyM,Nacional,1992,2017,"https://www.google.com/maps?q=-34.7482,-58.3946",1989-2019
06070010,06,06070,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Baradero,Museo Aeronáutico Baradero Vicente 'Tito' Churín,Jorge Newbery 1450,NA,B2942EXR,3329,481 689,aeroclub_baradero@hotmail.com,NA,-33.817642,-59.49308,Localización precisa,NA,DNPyM,Privada,1996,2017,"https://www.google.com/maps?q=-33.817642,-59.49308",1989-2019
06756010,06,06756,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Beccar,Museo Lucy Mattos,Av. Libertador 17426,NA,B1643CRO,11,4732 2585,NA,NA,-34.458953,-58.520181,Localización precisa,NA,DNPyM,Privada,2012,2017,"https://www.google.com/maps?q=-34.458953,-58.520181",1989-2019
06098010,06,06098,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Museo De La Soda Y El Sifón,60 N° 768 / 128 (Rotonda),NA,B1924CKS,221,424 8537,NA,NA,-34.901699,-57.921988,Localización precisa,NA,DNPyM,Privada,NA,2017,"https://www.google.com/maps?q=-34.901699,-57.921988",sin datos
06098010,06,06098,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Asociación 1871 Museo De Berisso,Av. 32 Esq. Montevideo,NA,1923,221,461 3166,NA,NA,-34.877062,-57.856338,Localización precisa,NA,DNPyM,Privada,2012,2017,"https://www.google.com/maps?q=-34.877062,-57.856338",1989-2019
06098010,06,06098,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Museo Ornitolólogico Municipal De Berisso,Montevideo 821,NA,B1923HMH,221,464 5574,NA,NA,-34.8687,-57.8837,Localización precisa,NA,DNPyM,Municipal,1986,2017,"https://www.google.com/maps?q=-34.8687,-57.8837",1989-2019
06658010,06,06658,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bernal,Museo Municipal Histórico Regional Almirante Brown,25 de Mayo 198,NA,B1876AWD,11,4252 5508,NA,NA,-34.7123,-58.2849,Localización precisa,NA,DNPyM,Municipal,NA,2017,"https://www.google.com/maps?q=-34.7123,-58.2849",sin datos
06028010,06,06028,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Burzaco,Museo Claudio León Sempere,Colón 581,NA,B1852BSE,11,4299 7279,NA,NA,-34.7918,-58.3503,Localización precisa,NA,DNPyM,Privada,1986,2017,"https://www.google.com/maps?q=-34.7918,-58.3503",1989-2019
06266020,06,06266,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Capilla del Señor,Museo Del Periodismo Bonaerense,Rivadavia 477,NA,B2812DII,NA,NA,NA,NA,-34.294305,-59.098521,Localización precisa,NA,DNPyM,Municipal,1972,2017,"https://www.google.com/maps?q=-34.294305,-59.098521",1940-1979
06266020,06,06266,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Capilla del Señor,Museo De Arte Sacro Amalia Sosa Palacio De Carol,Bolívar 338,NA,B2812AVH,2323,492 981,NA,NA,-34.295469,-59.100659,Localización precisa,NA,DNPyM,Privada,2007,2017,"https://www.google.com/maps?q=-34.295469,-59.100659",1989-2019
06007010,06,06007,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carhue,Museo Regional Dr. Adolfo Alsina,Rivadavia y Laprida,NA,6430,2936,430 967,NA,NA,-37.181184,-62.761667,Localización precisa,NA,DNPyM,Municipal,1967,2017,"https://www.google.com/maps?q=-37.181184,-62.761667",1940-1979
06602030,06,06602,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Histórico Regional Emma Nozzi,J.J.Biedma 64,NA,B8504BVB,2920,462 729,NA,NA,-40.803265,-62.985805,Localización precisa,NA,DNPyM,Provincial,1951,2017,"https://www.google.com/maps?q=-40.803265,-62.985805",1940-1979
06602030,06,06602,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Carmen De Patagones De La Prefectura Naval Argentina,Mitre 350,NA,B8504BUF,2920,461 742,NA,NA,-40.799546,-62.990096,Localización precisa,NA,DNPyM,Nacional,1998,2017,"https://www.google.com/maps?q=-40.799546,-62.990096",1989-2019
06840010,06,06840,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Caseros,Palacio San José - Museo Y Monumento Histórico Nacional Justo José De Urquiza,Ruta Provincial 39 Km. 128 (Desvio al Norte 3 Km.),NA,E3262AZR,3442,432 620,NA,NA,-32.466694,-58.478098,Localización precisa,NA,DNPyM,Nacional,1936,2017,"https://www.google.com/maps?q=-32.466694,-58.478098",1900-1939
06210020,06,06210,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chacabuco,Museo Y Archivo Histórico,Moreno 171,NA,B6740EGC,2352,426 699,NA,NA,-34.6409,-60.4669,Localización precisa,NA,DNPyM,Municipal,NA,2017,"https://www.google.com/maps?q=-34.6409,-60.4669",sin datos
06357080,06,06357,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chapadmalal,Museo Unidad Turística Chapadmalal Eva Perón,Ruta Nº 11 Km 33.5 Hotel Nº 5.,NA,5857,223,469 9291,NA,NA,-38.178051,-57.651372,Localización precisa,NA,DNPyM,Nacional,NA,2017,"https://www.google.com/maps?q=-38.178051,-57.651372",sin datos
06217010,06,06217,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chascomus,Museo Pampeano,Avda. Lastra y Muñiz,NA,B7130FRA,2241,430 982,NA,NA,-35.577998,-58.017113,Localización precisa,NA,DNPyM,Municipal,1941,2017,"https://www.google.com/maps?q=-35.577998,-58.017113",1940-1979
06224010,06,06224,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo De Artes Plásticas Pompeo Boggio,Bolívar 319,NA,B6620HBG,2346,422 113,culturachivilcoy@hotmail.com,NA,-34.891366,-60.022753,Localización precisa,NA,DNPyM,Municipal,1962,2017,"https://www.google.com/maps?q=-34.891366,-60.022753",1940-1979
06224010,06,06224,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Histórico Municipal F. A. Castagnino,9 de Julio 177,NA,B6620FKC,2346,422 185,NA,NA,-34.900377,-60.018883,Localización precisa,NA,DNPyM,Municipal,1943,2017,"https://www.google.com/maps?q=-34.900377,-60.018883",1940-1979
06224010,06,06224,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chivilcoy,Museo Arqueológico Municipal,9 de Julio 177,NA,B6620FKC,2346,422 185,NA,NA,-34.895242,-60.022772,Localización precisa,NA,DNPyM,Municipal,1973,2017,"https://www.google.com/maps?q=-34.895242,-60.022772",1940-1979
06840010,06,06840,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ciudadela,Museo Histórico Del Ejército Argentino,Carlos Pellegrini 4000,NA,B1702BDV,11,4653 1818,museoejercito@gmail.com,www.dahe.ejercito.mil.ar,-34.631100000000004,-58.5433,Localización precisa,NA,DNPyM,Nacional,1993,2017,"https://www.google.com/maps?q=-34.6311,-58.5433",1989-2019
06833020,06,06833,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Claromeco,Museo Regional De Claromecó Aníbal Paz,Calle 28 Entre 9 y 11 S/N,NA,7505,2982,480 213,museoclaromeco@gimeil.com,NA,-38.858268,-60.074491,Localización precisa,NA,DNPyM,Provincial,2007,2017,"https://www.google.com/maps?q=-38.858268,-60.074491",1989-2019
06119050,06,06119,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Brandsen,Micro Cosmo Museum 1Er. Complejo Museístico Mundial Del Microcosmos,Azcuénaga 926,NA,B1980EIT,2223,344 5628,NA,NA,-35.170389,-58.238246,Localización precisa,NA,DNPyM,Privada,2002,2017,"https://www.google.com/maps?q=-35.170389,-58.238246",1989-2019
06189030,06,06189,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Dorrego,Museo Regional Dr. Carlos Funes Derieul,Maciel 555,NA,B8150CSK,2921,409 228,NA,NA,-38.717614,-61.288043,Localización precisa,NA,DNPyM,Municipal,1969,2017,"https://www.google.com/maps?q=-38.717614,-61.288043",1940-1979
06196010,06,06196,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Antimuseo Pillahuincó,Cabrera 455,NA,B7530DJI,2922,462 680,NA,NA,-37.984408,-61.348839,Localización precisa,NA,DNPyM,Municipal,NA,2017,"https://www.google.com/maps?q=-37.984408,-61.348839",sin datos
06196010,06,06196,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Agrario Y De Transporte,Sáenz Peña y Stagmann,NA,7530,2922,406 2680,NA,NA,-37.984122,-61.356787,Localización precisa,NA,DNPyM,Municipal,NA,2017,"https://www.google.com/maps?q=-37.984122,-61.356787",sin datos
06196010,06,06196,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo De Ciencias Naturales,Alem 1375,NA,B7530ALE,2922,463 688,NA,NA,-37.983559,-61.348544,Localización precisa,NA,DNPyM,Mixta: Privada/Municipal,1909,2017,"https://www.google.com/maps?q=-37.983559,-61.348544",1900-1939
06196010,06,06196,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Municipal De Bellas Artes,Juan P. Cabrera 455,NA,B7530DJI,2922,462 680,NA,NA,-37.988799,-61.354054,Localización precisa,NA,DNPyM,Municipal,1909,2017,"https://www.google.com/maps?q=-37.988799,-61.354054",1900-1939
06196010,06,06196,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Pringles De Arqueología E Historia,Alvear Entre Colón y España,NA,7530,2922,462 459,NA,NA,-37.988799,-61.354054,Localización precisa,NA,DNPyM,Privada,1971,2017,"https://www.google.com/maps?q=-37.988799,-61.354054",1940-1979
06196010,06,06196,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Coronel Pringles,Museo Miguel G. Flesia,Stegmann 1032,NA,B7530DBV,2922,466 166 INT 32,NA,NA,-37.983131,-61.358056,Localización precisa,NA,DNPyM,Municipal,1986,2017,"https://www.google.com/maps?q=-37.983131,-61.358056",1989-2019
06238010,06,06238,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Histórico Provincial Libres Del Sur,Juan Bautista Selva 390,NA,B7100BIH,2245,442 730,NA,NA,-36.318665,-57.675217,Localización precisa,NA,DNPyM,Provincial,1940,2017,"https://www.google.com/maps?q=-36.318665,-57.675217",1940-1979
06238010,06,06238,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Dolores,Museo Del Colegio Nacional Aristóbulo Del Valle,Crámer 450,NA,B7100ADJ,2245,446 276,NA,NA,-36.318642,-57.67285,Localización precisa,NA,DNPyM,Provincial,1991,2017,"https://www.google.com/maps?q=-36.318642,-57.67285",1989-2019
06392040,06,06392,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Emilio V. Bunge,Museo Comunal Pedro Bargero,Gobernador Arias 496,NA,B6241AIJ,3388,493 535,bargero@servicoopsa.com.ar,NA,-34.782191,-63.196046,Localización precisa,NA,DNPyM,Municipal,1984,2017,"https://www.google.com/maps?q=-34.782191,-63.196046",1989-2019
06245010,06,06245,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Y Biblioteca Juan Guarnieri - Casa Huarpe,Leandro N. Alem 1081,NA,B1925BNS,221,460 2370,NA,NA,-34.850396,-57.92042,Localización precisa,NA,DNPyM,Privada,NA,2017,"https://www.google.com/maps?q=-34.850396,-57.92042",sin datos
06245010,06,06245,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Histórico Fuerte De La Ensenada De Barragán,Avda. Almirante Brown y Calle 60 Punta Lara,NA,1925,221,469 1642,NA,NA,-34.8215,-57.9661,Localización precisa,NA,DNPyM,Municipal,1965,2017,"https://www.google.com/maps?q=-34.8215,-57.9661",1940-1979
06245010,06,06245,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Ensenada,Museo Contraalmirante Rafael E. Chalier,Río Santiago - Escuela Naval Militar,NA,1927,221,4317 2396,NA,NA,-34.84165,-57.893365,Localización precisa,NA,DNPyM,Nacional,1979,2017,"https://www.google.com/maps?q=-34.84165,-57.893365",1940-1979
06274010,06,06274,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florencio Varela,Museo Histórico Provincial Guillermo E. Hudson,"Calle 1356 (El Zaino), Entre Av. Hudson y 1379",NA,1888,2229,497 314,NA,NA,-34.80208,-58.264498,Localización precisa,NA,DNPyM,Provincial,NA,2017,"https://www.google.com/maps?q=-34.80208,-58.264498",sin datos
06861010,06,06861,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo De La Piedra Argentina,Esteban Echeverría 333,NA,1602,11,4760 9138,NA,NA,-34.533,-58.4909,Localización precisa,NA,DNPyM,Privada,1975,2017,"https://www.google.com/maps?q=-34.533,-58.4909",1940-1979
06861010,06,06861,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Florida,Museo Forrajeria De La Familia García,Gral. José María Paz 1584,NA,B1602AYD,11,4796 9556,NA,NA,-34.526868,-58.491632,Localización precisa,NA,DNPyM,Privada,2001,2017,"https://www.google.com/maps?q=-34.526868,-58.491632",1989-2019
06301010,06,06301,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,General Belgrano,Museo Histórico Municipal Alfredo E. Múlgura,Avda. Larrea 454,NA,B7223GUO,NA,NA,NA,NA,-35.769121,-58.493413,Localización precisa,NA,DNPyM,Municipal,2001,2017,"https://www.google.com/maps?q=-35.769121,-58.493413",1989-2019
06322010,06,06322,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Gral. la Madrid,Archivo Y Museo Histórico Juan Carlos Pacín,San Martín 545,NA,B7406AMK,NA,NA,NA,NA,-37.252695,-61.259562,Localización precisa,NA,DNPyM,Municipal,1987,2017,"https://www.google.com/maps?q=-37.252695,-61.259562",1989-2019
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia De La Medicina Dr. Santiago Garostiague,Avda. 60 y 120 Facultad de Ciencias Médicas,NA,1900,221,424 1596 INT 374,NA,NA,-34.909535,-57.928953,Localización precisa,NA,DNPyM,Nacional,NA,2017,"https://www.google.com/maps?q=-34.909535,-57.928953",sin datos
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Galería Fotográfica Mugafo Centro Cultural Islas Malvinas,Calle 19 E/ 50 y 51,NA,B1900TQU,221,417 6795,NA,NA,-34.926257,-57.961684,Localización precisa,NA,DNPyM,Municipal,NA,2017,"https://www.google.com/maps?q=-34.926257,-57.961684",sin datos
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Anatomía Veterinaria Dr. Víctor Manuel Arroyo,Calle 60 y 118,NA,B1904AAO,221,423 6663 INT 424,NA,NA,-34.91114,-57.930749,Localización precisa,NA,DNPyM,Nacional,NA,2017,"https://www.google.com/maps?q=-34.91114,-57.930749",sin datos
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Historia Militar Teniente General Julio Argentino Roca,Calle 137 y 635,NA,1909,221,450 1214,NA,NA,-35.001053,-57.902284,Localización precisa,NA,DNPyM,Nacional,NA,2017,"https://www.google.com/maps?q=-35.001053,-57.902284",sin datos
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Almafuerte,Calle 66 530,NA,B1904ASJ,221,427 5631,NA,NA,-34.9246,-57.9331,Localización precisa,NA,DNPyM,Municipal,1909,2017,"https://www.google.com/maps?q=-34.9246,-57.9331",1900-1939
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Provincial De Bellas Artes Emilio Pettoruti,Avda. 51 N° 525 E/5 y 6,NA,B1900AVK,221,421 8619,NA,NA,-34.913773,-57.947692,Localización precisa,NA,DNPyM,Provincial,1926,2017,"https://www.google.com/maps?q=-34.913773,-57.947692",1900-1939
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Pictórico Indigenista Yana Kúntur,"Calle 516, N°2479 Entre 19 y 20",NA,1900,221,484 2526,NA,NA,-34.8989,-58.0002,Localización precisa,NA,DNPyM,Privada,1966,2017,"https://www.google.com/maps?q=-34.8989,-58.0002",1940-1979
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Instrumentos Musicales Dr. Emilio Azzarini,Calle 45 Nro. 582,NA,B1900ADX,221,424 0401,museo azzarini@hotmail.com,NA,-34.9113,-57.9537,Localización precisa,NA,DNPyM,Nacional,1989,2017,"https://www.google.com/maps?q=-34.9113,-57.9537",1989-2019
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Artesanía Tradicional Argentina Y Latinoamericanajuan Alfonso Carrizo,Calle 2 N° 417,NA,B1902CHQ,221,424 4684,NA,NA,-34.9111,-57.9433,Localización precisa,NA,DNPyM,Privada,1990,2017,"https://www.google.com/maps?q=-34.9111,-57.9433",1989-2019
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo José Juan Podestá,10 N° 727 Entre 46 y 47,NA,B1900TIY,221,424 8457,NA,NA,-34.91512,-57.956169,Localización precisa,NA,DNPyM,Municipal,1995,2017,"https://www.google.com/maps?q=-34.91512,-57.956169",1989-2019
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Latinoamericano (Macla),50 E/ 6 y 7 Pasaje Dardo Rocha,NA,B1900ASW,221,427 1843,NA,NA,-34.920184,-57.941166,Localización precisa,NA,DNPyM,Municipal,2003,2017,"https://www.google.com/maps?q=-34.920184,-57.941166",1989-2019
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Gráfico E Histórico Del Club De Gimnasia Y Esgrima La Plata,4 N° 979,NA,B1900TDT,221,422 2510,NA,NA,-34.913027,-57.945249,Localización precisa,NA,DNPyM,Privada,2004,2017,"https://www.google.com/maps?q=-34.913027,-57.945249",1989-2019
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Automóvil Colección Rau,Av. 1 Nº 121 Entre 34 y 35,NA,B1902CGC,221,427 6660,NA,NA,-34.896597,-57.960406,Localización precisa,NA,DNPyM,Privada,2010,2017,"https://www.google.com/maps?q=-34.896597,-57.960406",1989-2019
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De La Plata,Paseo del Bosque S/N,NA,1900,221,423 4910,NA,NA,-34.9106,-57.9416,Localización precisa,NA,DNPyM,Nacional,1888,2017,"https://www.google.com/maps?q=-34.9106,-57.9416",1860-1899
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Municipal De Arte,Calle 50 Entre 6 y 7. Pasaje Dardo Rocha,NA,B1900ASW,221,423 5033,museomumart@yahoo.com.ar,NA,-34.9143,-57.9493,Localización precisa,NA,DNPyM,Municipal,1905,2017,"https://www.google.com/maps?q=-34.9143,-57.9493",1900-1939
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Y Archivo Dardo Rocha,Calle 50 N° 933,NA,B1900ATK,NA,NA,NA,NA,-34.9212,-57.9566,Localización precisa,NA,DNPyM,Municipal,1952,2017,"https://www.google.com/maps?q=-34.9212,-57.9566",1940-1979
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Eclesiástico Catedral,Calle 14 Entre 51 y 53,NA,B1900DVL,221,427 3504,museo-catedral@yahoo.com.ar,www.catedraldelaplata.com,-34.9222,-57.9557,Localización precisa,NA,DNPyM,Provincial,1977,2017,"https://www.google.com/maps?q=-34.9222,-57.9557",1940-1979
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Arte Contemporáneo Beato Angélico,Calle 47 Entre 16 y Diag. 73,NA,B1900AKQ,221,424 8906,museobangelico@ucalp.edu.ar,www.ucalp.edu.ar,-34.9216,-57.9616,Localización precisa,NA,DNPyM,Privada,1980,2017,"https://www.google.com/maps?q=-34.9216,-57.9616",1989-2019
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Archivo Histórico Y Museo Del Servicio Penitenciario Bonaerense,35 N° 535 E/ 5 y 6,NA,B1902BBU,221,429 3892,NA,NA,-34.901463,-57.964068,Localización precisa,NA,DNPyM,Provincial,1994,2017,"https://www.google.com/maps?q=-34.901463,-57.964068",1989-2019
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Física,"Calle 115, Entre 49 y 50 S/N",NA,1900,221,424 6062,NA,NA,-34.907913,-57.942886,Localización precisa,NA,DNPyM,Nacional,1998,2017,"https://www.google.com/maps?q=-34.907913,-57.942886",1989-2019
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo Del Tango Platense Oscar A. Bozzarelli,15 Nº 1579,NA,B1904CTG,221,424 2698,NA,NA,-34.932314,-57.944732,Localización precisa,NA,DNPyM,Privada,1999,2017,"https://www.google.com/maps?q=-34.932314,-57.944732",1989-2019
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Odontología Orestes Walter Siutti,50 E/ 1 y 15 - Facultad de Odontología,NA,1900,221,423 6777,NA,NA,-34.908329,-57.943054,Localización precisa,NA,DNPyM,Nacional,2001,2017,"https://www.google.com/maps?q=-34.908329,-57.943054",1989-2019
06441030,06,06441,NA,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,La Plata,Museo De Calcos,"Diagonal 78 N 680, Oficina 16",NA,B1904BTD,221,427 6304,NA,NA,-34.922339,-57.94179,Localización precisa,NA,DNPyM,Nacional,2004,2017,"https://www.google.com/maps?q=-34.922339,-57.94179",1989-2019
